-4.99739000	-0.00000107
-4.89616000	-0.00000084
-4.79430000	-0.00000050
-4.69271000	-0.00000032
-4.59425000	-0.00000024
-4.48825000	-0.00000025
-4.38896000	-0.00000003
-4.28442000	-0.00000001
-4.18397000	0.00000003
-4.08041000	-0.00000002
-3.98072000	0.00000020
-3.87638000	0.00000019
-3.77655000	0.00000011
-3.67155000	0.00000026
-3.56959000	0.00000031
-3.46760000	0.00000029
-3.36540000	0.00000023
-3.26368000	0.00000036
-3.16153000	0.00000031
-3.05960000	0.00000027
-2.95732000	0.00000026
-2.85625000	0.00000039
-2.75368000	0.00000030
-2.65162000	0.00000034
-2.55235000	0.00000039
-2.44760000	0.00000044
-2.34697000	0.00000034
-2.24324000	0.00000037
-2.14138000	0.00000038
-2.03935000	0.00000036
-1.93753000	0.00000042
-1.83579000	0.00000043
-1.73342000	0.00000038
-1.63064000	0.00000037
-1.52956000	0.00000042
-1.42788000	0.00000035
-1.32853000	0.00000037
-1.22323000	0.00000040
-1.12257000	0.00000053
-1.01864000	0.00000046
-0.91687800	0.00000040
-0.81558700	0.00000039
-0.71297700	0.00000037
-0.61165800	0.00000040
-0.50943800	0.00000040
-0.40749100	0.00000047
-0.30566300	0.00000046
-0.20424800	0.00000044
-0.10176500	0.00000044
-0.01309680	0.00000045
